Product Name,Product ID,Listing Price,Sale Price,Discount,Brand,Rating,Reviews,Discount Amount,Cluster,PC1,PC2
Men's adidas Originals Stan Smith Shoes,BD7438,7999,8.294049640102028,50,Adidas ORIGINALS,4.0,85,3999.5,2,0.4084006035908629,0.2594764399429615
Men's adidas Sport Inspired Duramo Lite 2.0 Shoes,B75579,4999,7.824046010856292,50,Adidas CORE / NEO,4.3,6,2499.5,1,0.13356812069172747,-0.5267674583901193
Men's adidas Swim Ozor III Slippers,CM0057,1299,6.659293919683638,40,Adidas CORE / NEO,2.2,46,519.6,1,0.3027985182384589,-0.17763867283810594
Men's adidas Swim Gadi Slippers,CL0206,1499,6.620073206530356,50,Adidas CORE / NEO,3.7,9,749.5,1,0.24876094274283284,-0.5975636767530674
MEN'S ADIDAS RUNNING LEGUS SHOES,CJ8058,5999,8.006367567650246,50,Adidas CORE / NEO,2.7,87,2999.5,2,0.4904597982757239,0.26013175231877955
Men's adidas Originals CAMPUS Low Shoes,BZ0086,7999,8.294049640102028,50,Adidas ORIGINALS,2.0,28,3999.5,1,0.2990971496779216,-0.21959016908454068
MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES,CJ8117,4599,7.7406644019172415,50,Adidas CORE / NEO,4.0,87,2299.5,2,0.44275129172176325,0.2031881657745937
MEN'S ADIDAS RUNNING LEGUS 1.0 SHOES,CJ8073,5599,7.937374696163295,50,Adidas CORE / NEO,2.5,66,2799.5,2,0.42817718998924176,0.06462072724089651
Men's adidas Running Kollide Shoes,CL7551,4799,7.783224016336037,50,Adidas CORE / NEO,5.0,54,2399.5,2,0.2745958969438523,-0.10970508802796308
Men's adidas Running Edge PR Shoes,AC8122,7999,8.294049640102028,50,Adidas SPORT PERFORMANCE,4.2,66,3999.5,2,0.33079182860233663,0.08354950897650587
Men's adidas Sport Inspired Advantage Base Shoes,EE7697,4999,7.824046010856292,50,Adidas CORE / NEO,3.5,6,2499.5,1,0.17157515793869277,-0.5117784787372378
Men's adidas Running Galaxy 4 Shoes,F36159,5299,7.882314918980268,50,Adidas CORE / NEO,2.4,99,2649.5,2,0.5540886752786778,0.35865697371718425
men's ADIDAS ORIGINALS PW HU HOLI STAN SMITH SHOES,AC7042,9999,8.517193191416238,50,Adidas ORIGINALS,3.1,49,4999.5,2,0.3138640460771655,-0.011389465010650579
MEN'S ADIDAS RUNNING ZETA 1.0 SHOES,CJ8053,5999,8.006367567650246,50,Adidas CORE / NEO,4.4,42,2999.5,1,0.2483887543651166,-0.17951382272757196
Men's adidas Running PureBounce+ Clima Shoes,BC0836,8999,8.411832675758411,50,Adidas SPORT PERFORMANCE,3.4,90,4499.5,2,0.45023441891474286,0.3356014123974938
Men's adidas Running Duramo 9 Shoes,F35275,6599,8.101677747454572,50,Adidas CORE / NEO,3.8,88,3299.5,2,0.43716531783318985,0.2615949444410057
MEN'S ADIDAS RUNNING HELKIN 3.0 SHOES,CJ8115,4599,7.7406644019172415,50,Adidas CORE / NEO,3.0,44,2299.5,1,0.3361231580645884,-0.16774542546399487
MEN'S ADIDAS RUNNING ARIUS 1.0 SHOES,CJ8089,4999,7.824046010856292,50,Adidas CORE / NEO,3.5,74,2499.5,2,0.415326582466133,0.10444355555855167
Men's adidas Originals Skateboarding Seeley Shoes,EE6128,5999,8.1886891244442,40,Adidas ORIGINALS,4.3,19,2399.6,1,0.010883025125781598,-0.31948203990804763
